OVCA_TMA22_region_110.ome.tiff
179 ROIs
CD20+	6

OVCA_TMA22_region_016.ome.tiff
77 ROIs
CD3-	20
CD4-	20
FOXP3-	20
CD4+	6
CD3+	5
FOXP3+	5
ISOTYPEMU+	1

OVCA_TMA22_region_105.ome.tiff
145 ROIs
CD3+	20
CD3-	20
CD8-	20
CD4-	20
FOXP3+	20
FOXP3-	20
CD4+	13
CD8+	11
ISOTYPERB+	1

OVCA_TMA22_region_157.ome.tiff
181 ROIs
CD3+	20
CD3-	20
CD8-	20
CD4-	20
CD45-	20
FOXP3-	20
FOXP3+	18
CD4+	15
CD45+	11
ISOTYPERB+	10
CD8+	7

OVCA_TMA22_region_096.ome.tiff
233 ROIs
CD20-	22
CD8-	21
CD4-	21
CD38-	21
CD56-	21
FOXP3-	21
CD3+	20
CD3-	20
CD8+	19
CD4+	19
FOXP3+	17
CD20+	6
CD38+	3
CD56+	1
ISOTYPERB+	1

OVCA_TMA22_region_191.ome.tiff
131 ROIs
CD3+	22
CD8-	22
CD3-	20
CD4-	20
FOXP3-	20
CD8+	8
CD4+	8
FOXP3+	8
ISOTYPERB+	3

OVCA_TMA22_region_020.ome.tiff
164 ROIs
CD3-	20
CD8-	20
CD4-	20
CD45-	20
CD20-	20
FOXP3-	20
ISOTYPEMU+	12
CD3+	7
FOXP3+	7
CD8+	6
CD45+	6
CD4+	4
CD20+	2

OVCA_TMA22_region_014.ome.tiff
102 ROIs
CD3-	20
CD4-	20
CD45-	20
FOXP3-	20
CD4+	8
CD3+	7
FOXP3+	4
CD45+	2
ISOTYPEMU+	1

OVCA_TMA22_region_138.ome.tiff
159 ROIs
CD3-	22
CD20-	22
FOXP3-	22
CD3+	21
CD8-	20
CD4-	20
CD4+	13
FOXP3+	12
CD8+	6
CD20+	1

OVCA_TMA22_region_052.ome.tiff
113 ROIs
CD3-	20
CD8-	20
CD4-	20
FOXP3-	20
CD3+	11
CD4+	8
CD8+	6
FOXP3+	5
ISOTYPEMU+	2
ISOTYPERB+	1

OVCA_TMA22_region_042.ome.tiff
259 ROIs
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4+	20
CD4-	20
CD20-	20
CD38+	20
CD38-	20
FOXP3+	20
FOXP3-	20
CD56-	20
CD56+	12
CD20+	5
ISOTYPERB+	1
ISOTYPEMU+	1

OVCA_TMA22_region_029.ome.tiff
212 ROIs
CD8+	21
CD4-	21
CD3+	20
CD3-	20
CD8-	20
CD4+	20
CD45+	20
CD45-	20
CD20-	20
FOXP3-	20
FOXP3+	9
CD20+	1

OVCA_TMA22_region_142.ome.tiff
176 ROIs
CD3-	22
CD8-	22
CD3+	21
CD4+	21
CD4-	20
CD20-	20
FOXP3-	20
CD8+	16
FOXP3+	9
CD20+	3
ISOTYPEMU+	1
ISOTYPERB+	1

OVCA_TMA22_region_004.ome.tiff
109 ROIs
CD3-	20
CD8-	20
CD4-	20
FOXP3-	20
CD8+	11
CD3+	10
CD4+	4
FOXP3+	4

OVCA_TMA22_region_102.ome.tiff
129 ROIs
CD3+	20
CD3-	20
CD4-	20
CD20-	20
FOXP3-	20
FOXP3+	12
CD4+	5
CD20+	5
ISOTYPEMU+	5
ISOTYPERB+	2

OVCA_TMA22_region_178.ome.tiff
97 ROIs
CD3-	20
CD8-	20
CD45-	20
FOXP3-	20
CD3+	7
CD8+	5
FOXP3+	3
CD45+	2

OVCA_TMA22_region_181.ome.tiff
138 ROIs
CD4-	21
FOXP3-	21
CD3-	20
CD8-	20
CD45-	20
CD3+	11
FOXP3+	8
CD8+	7
CD45+	6
CD4+	4

OVCA_TMA22_region_026.ome.tiff
59 ROIs
CD3-	20
CD8-	20
CD3+	11
CD8+	8

OVCA_TMA22_region_124.ome.tiff
169 ROIs
FOXP3-	21
CD3+	20
CD3-	20
CD8-	20
CD4+	20
CD4-	20
CD20-	20
FOXP3+	13
CD20+	10
CD8+	3
ISOTYPERB+	2

OVCA_TMA22_region_012.ome.tiff
240 ROIs
CD3+	20
CD3-	20
CD8+	20
CD4+	20
CD4-	20
CD20-	20
CD38+	20
CD38-	20
CD56+	20
CD56-	20
FOXP3-	20
FOXP3+	12
CD20+	5
ISOTYPEMU+	2
ISOTYPERB+	1

OVCA_TMA22_region_108.ome.tiff
139 ROIs
CD3+	20
CD3-	20
CD8-	20
CD4-	20
FOXP3-	20
CD4+	12
FOXP3+	10
CD8+	9
ISOTYPERB+	8

OVCA_TMA22_region_063.ome.tiff
149 ROIs
CD3-	20
CD8-	20
CD4-	20
CD38-	20
CD56-	20
FOXP3-	20
CD56+	10
CD3+	8
CD38+	6
CD8+	2
CD4+	1
FOXP3+	1
ISOTYPERB+	1

OVCA_TMA22_region_103.ome.tiff
24 ROIs
CD3-	20
CD3+	4

OVCA_TMA22_region_033.ome.tiff
181 ROIs
CD38-	23
CD3-	21
CD56-	21
FOXP3-	21
CD3+	20
CD8-	20
CD4-	20
CD4+	19
CD8+	7
FOXP3+	5
CD38+	2
CD56+	2

OVCA_TMA22_region_129.ome.tiff
192 ROIs
CD8-	25
CD4+	25
CD3+	21
CD8+	21
FOXP3-	21
CD3-	20
CD4-	20
CD20-	20
FOXP3+	14
CD20+	5

OVCA_TMA22_region_034.ome.tiff
107 ROIs
CD4-	21
CD20-	21
CD3-	20
CD8-	20
CD3+	12
CD4+	7
CD8+	3
ISOTYPERB+	2
CD20+	1

OVCA_TMA22_region_170.ome.tiff
178 ROIs
CD3+	20
CD3-	20
CD8-	20
CD45-	20
CD20-	20
FOXP3-	20
CD4-	19
FOXP3+	13
CD8+	8
CD4+	8
CD20+	6
CD45+	2
ISOTYPERB+	2

OVCA_TMA22_region_117.ome.tiff
124 ROIs
CD3-	20
CD8-	20
CD20-	20
FOXP3-	20
FOXP3+	17
ISOTYPERB+	11
CD3+	9
CD20+	4
CD8+	3

OVCA_TMA22_region_075.ome.tiff
127 ROIs
CD3+	21
CD3-	21
CD8-	20
CD4-	20
FOXP3-	20
CD8+	11
CD4+	9
FOXP3+	5

OVCA_TMA22_region_167.ome.tiff
187 ROIs
CD20-	21
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4+	20
CD4-	20
FOXP3+	20
FOXP3-	20
CD20+	3
ISTYPERB+	3

OVCA_TMA22_region_104.ome.tiff
180 ROIs
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4+	20
CD4-	20
CD45-	20
FOXP3-	20
FOXP3+	17
CD45+	3

OVCA_TMA22_region_073.ome.tiff
183 ROIs
CD8-	22
CD3+	20
CD3-	20
CD4-	20
CD20-	20
CD38-	20
FOXP3-	20
CD4+	14
FOXP3+	13
CD8+	7
CD38+	3
CD56+	3
CD20+	1

OVCA_TMA22_region_171.ome.tiff
181 ROIs
CD3+	20
CD3-	20
CD8+	20
CD4-	20
CD20-	20
FOXP3+	20
FOXP3-	20
CD8-	19
CD4+	16
CD20+	3
ISOTYPERB+	3

OVCA_TMA22_region_177.ome.tiff
117 ROIs
CD3-	22
FOXP3-	22
CD4-	21
CD8-	20
CD8+	11
CD3+	9
CD4+	7
FOXP3+	3
ISOTYPERB+	2

OVCA_TMA22_region_040.ome.tiff
55 ROIs
CD3-	20
FOXP3-	20
CD3+	7
FOXP3+	4
ISOTYPERB+	4

OVCA_TMA22_region_158.ome.tiff
152 ROIs
CD3+	20
CD3-	20
CD8-	20
CD4+	20
CD4-	20
FOXP3+	20
FOXP3-	20
CD8+	11
ISTYPEMU+	1

OVCA_TMA22_region_031.ome.tiff
115 ROIs
CD8+	27
CD3+	23
CD3-	20
FOXP3-	20
CD20-	18
FOXP3+	4
CD20+	1
ISOTYPERB+	1
ISOTYPEMU+	1

OVCA_TMA22_region_069.ome.tiff
90 ROIs
CD3-	20
CD4-	20
FOXP3-	20
ISOTYPERB+	20
CD3+	5
CD4+	4
FOXP3+	1

OVCA_TMA22_region_088.ome.tiff
168 ROIs
FOXP3-	22
CD3+	21
CD4-	21
CD38-	21
CD3-	20
CD8-	20
CD4+	20
CD38+	10
FOXP3+	10
CD8+	3

OVCA_TMA22_region_101.ome.tiff
268 ROIs
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4+	20
CD4-	20
CD45+	20
CD45-	20
CD20-	20
CD38+	20
CD38-	20
FOXP3+	20
FOXP3-	20
CD20+	8

OVCA_TMA22_region_035.ome.tiff
107 ROIs
CD3-	21
CD8-	21
CD4-	20
FOXP3-	20
CD3+	13
CD4+	4
FOXP3+	4
CD8+	3
ISOTYPERB+	1

OVCA_TMA22_region_044.ome.tiff
158 ROIs
CD20-	22
CD3+	20
CD3-	20
CD8-	20
CD4-	20
FOXP3-	20
CD8+	13
CD4+	10
FOXP3+	6
ISOTYPERB+	6
CD20+	1

OVCA_TMA22_region_047.ome.tiff
143 ROIs
FOXP3-	23
CD20-	22
CD3+	20
CD3-	20
CD4+	20
CD4-	20
FOXP3+	11
CD20+	6
ISOTYPEMU+	1

OVCA_TMA22_region_133.ome.tiff
79 ROIs
CD3-	20
CD8-	20
FOXP3-	20
CD8+	9
CD3+	7
FOXP3+	2
iSOTYPERB+	1

OVCA_TMA22_region_168.ome.tiff
132 ROIs
CD3+	20
CD3-	20
CD8-	20
FOXP3-	20
CD4-	19
CD8+	13
CD4+	7
FOXP3+	7
ISOTYPERB+	3
ISOTYPEMU+	3

OVCA_TMA22_region_079.ome.tiff
211 ROIs
CD3+	21
CD3-	20
CD8-	20
CD4-	20
CD20-	20
CD38-	20
FOXP3-	20
CD8+	19
CD4+	17
CD38+	17
CD20+	6
CD56+	4
FOXP3+	4
ISOTYPERB+	3

OVCA_TMA22_region_128.ome.tiff
218 ROIs
CD4+	26
CD20-	26
CD3+	21
FOXP3-	21
CD3-	20
CD8-	20
CD4-	20
CD38-	20
CD8+	17
FOXP3+	15
ISOTYPERB+	5
ISOTYPEMU+	4
CD38+	2
CD20+	1

OVCA_TMA22_region_061.ome.tiff
109 ROIs
CD3-	20
CD8-	20
CD4-	19
FOXP3-	19
CD3+	11
CD8+	9
FOXP3+	6
CD4+	3
ISOTYPEMU+	2

OVCA_TMA22_region_141.ome.tiff
150 ROIs
CD3-	24
CD20-	21
FOXP3-	21
CD8-	20
CD4-	20
CD3+	16
CD8+	9
CD4+	7
ISOTYPERB +	6
FOXP3+	5
CD20+	1

OVCA_TMA22_region_071.ome.tiff
199 ROIs
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4-	20
CD20-	20
CD38-	20
CD56-	20
CD4+	16
CD38+	12
CD20+	6
CD56+	4
ISOTYPERB+	1

OVCA_TMA22_region_007.ome.tiff
174 ROIs
CD3+	24
CD3-	24
CD4-	22
CD8-	20
FOXP3-	20
CD20-	20
CD4+	17
CD8+	12
FOXP3+	9
CD20+	2
ISOTYPEMU+	2
ISOTYPERB+	2

OVCA_TMA22_region_123.ome.tiff
54 ROIs
CD3-	20
CD8-	20
CD3+	7
CD8+	7

OVCA_TMA22_region_304.ome.tiff
247 ROIs
CD38+	26
CD56-	22
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4+	20
CD4-	20
CD20-	20
CD38-	20
FOXP3-	20
CD56+	8
CD20+	5
FOXP3+	3
ISOTYPERB+	2
ISOTYPEMU+	1

OVCA_TMA22_region_002.ome.tiff
150 ROIs
CD3+	20
CD3-	20
CD8-	20
CD4+	20
CD4-	20
CD20-	20
FOXP3-	20
CD8+	6
CD20+	2
FOXP3+	2

OVCA_TMA22_region_051.ome.tiff
194 ROIs
CD3-	20
CD8-	20
CD4-	20
CD20-	20
CD38-	20
CD56-	20
FOXP3-	20
CD4+	13
CD3+	10
CD8+	10
CD38+	7
ISOTYPEMU+	6
FOXP3+	4
CD56+	2
CD20+	1
ISOTYPERB+	1

OVCA_TMA22_region_025.ome.tiff
128 ROIs
CD3+	20
CD3-	20
CD8-	20
CD4-	20
FOXP3-	19
CD4+	16
CD8+	5
FOXP3+	4
ISOTYPERB+	4

OVCA_TMA22_region_193.ome.tiff
237 ROIs
CD38-	23
FOXP3-	23
CD3+	22
CD4-	21
CD3-	20
CD38+	20
CD56+	20
CD56-	20
CD8-	19
CD4+	18
FOXP3+	17
CD8+	12
ISOTYPERB+	2

OVCA_TMA22_region_152.ome.tiff
118 ROIs
CD3+	20
CD3-	20
CD8+	20
CD8-	20
FOXP3-	20
FOXP3+	13
ISOTYPERB+	5

OVCA_TMA22_region_346.ome.tiff
282 ROIs
CD3+	24
CD45-	21
FOXP3-	21
CD8-	21
CD4+	21
CD4-	21
CD3-	21
CD20-	20
CD45+	20
CD8+	20
CD56-	20
CD20+	13
CD38-	13
FOXP3+	11
CD38+	8
CD56+	3
ISOTYPERB+	2
ISOTYPEMU+	2

OVCA_TMA22_region_015.ome.tiff
245 ROIs
CD3+	21
CD3-	21
CD8-	20
CD4+	20
CD4-	20
CD20-	20
CD38-	20
CD56-	20
FOXP3+	20
FOXP3-	20
CD56+	12
CD8+	11
CD20+	10
CD38+	6
ISOTYPERB+	3
ISOTYPEMU+	1

OVCA_TMA22_region_113.ome.tiff
211 ROIs
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4+	20
CD4-	20
CD45-	20
CD20+	20
CD20-	20
FOXP3-	20
CD45+	7
FOXP3+	4

OVCA_TMA22_region_174.ome.tiff
123 ROIs
CD3-	20
CD4-	20
CD20-	20
FOXP3-	20
CD4+	18
CD3+	12
FOXP3+	12
CD20+	1

OVCA_TMA22_region_005.ome.tiff
188 ROIs
CD4+	21
CD3+	20
CD3-	20
CD8-	20
CD4-	20
CD20+	20
CD20-	20
FOXP3-	20
CD8+	10
FOXP3+	9
ISOTYPERB+	6
ISOTYPEMU+	2

OVCA_TMA22_region_184.ome.tiff
37 ROIs
CD3-	20
CD3+	17

OVCA_TMA22_region_058.ome.tiff
73 ROIs
CD3-	20
CD8-	20
CD20-	20
CD3+	5
CD8+	4
CD20+	4

OVCA_TMA22_region_118.ome.tiff
227 ROIs
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4+	20
CD4-	20
CD45+	20
CD45-	20
CD20-	20
FOXP3+	20
FOXP3-	20
CD20+	5
ISOTYPERB+	1
ISOTYPEMU+	1

OVCA_TMA22_region_053.ome.tiff
78 ROIs
CD3-	20
CD4-	20
FOXP3-	20
CD3+	7
CD4+	6
FOXP3+	4
ISOTYPERB+	1

OVCA_TMA22_region_194.ome.tiff
38 ROIs
CD3-	20
CD3+	18

OVCA_TMA22_region_164.ome.tiff
122 ROIs
CD3-	20
CD8-	20
CD4-	20
FOXP3-	20
CD3+	17
CD8+	12
FOXP3+	7
CD4+	6

OVCA_TMA22_region_156.ome.tiff
223 ROIs
CD3+	20
CD3-	20
CD8+	20
CD8-	20
CD4+	20
CD4-	20
CD45+	20
CD45-	20
CD20-	20
FOXP3+	20
FOXP3-	20
CD20+	1
ISOTYPERB+	1
ISOTYPEMU+	1

Slide2050_24Plex.ome.tif
3 ROIs

OVCA_Series_1_TMA_consecutive_slide.czi [0]
3 ROIs

